,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_ATG,SG_APP,SG_OTT,SG_TTG,SG_T,PAR3,PAR4,PAR5,POINTS,TOP 10,1ST,Year
102,J.J. Henry,93,70.939,288.1,63.18,68.24,-.054,.133,.126,.051,.309,.255,3.07,4.03,4.77,760,3,1,2012
103,D.A. Points,88,70.946,284.0,64.66,66.48,-.109,-.003,.329,.067,.394,.284,3.09,4.04,4.68,"1,027",3,,2012
104,Billy Mayfair,90,70.948,286.8,65.20,64.02,-.205,.131,-.083,.080,.128,-.077,3.05,4.08,4.68,500,1,,2012
105,Josh Teater,97,70.953,298.6,61.30,67.50,-.209,-.001,-.231,.570,.338,.128,3.09,4.06,4.61,803,4,,2012
106,Jerry Kelly,84,70.955,276.1,73.00,65.63,-.077,.245,-.218,-.018,.010,-.067,3.02,4.06,4.72,385,1,,2012
107,Boo Weekley,74,70.966,296.8,65.15,69.53,-1.055,-.162,.466,.668,.973,-.082,3.10,4.06,4.65,365,3,,2012
108,Chris Couch,61,70.977,293.8,65.49,63.65,.083,-.205,-.131,.377,.041,.125,3.05,4.07,4.63,242,,,2012
109,Martin Laird,77,70.989,298.2,59.16,65.30,.099,-.099,.175,.374,.449,.549,3.05,4.09,4.67,"1,024",3,,2012
110,Nathan Green,73,70.991,283.8,58.97,66.92,.248,.083,.048,-.479,-.348,-.100,3.04,4.04,4.69,245,1,,2012
111,Y.E. Yang,64,71.005,284.9,61.06,58.51,.516,-.192,-.352,-.118,-.663,-.146,3.12,4.11,4.72,351,,,2012
112,George McNeill,85,71.011,288.8,61.14,63.03,.238,-.053,-.023,-.149,-.226,.013,3.07,4.08,4.69,724,1,1,2012
113,Cameron Tringale,88,71.023,290.4,64.41,66.60,.102,.003,.056,.195,.254,.356,3.07,4.07,4.69,689,4,,2012
114,Bryce Molder,83,71.028,277.5,61.59,64.91,.666,.188,.100,-.632,-.345,.321,3.06,4.05,4.69,"1,023",2,,2012
115,Rod Pampling,88,71.038,288.8,62.72,64.93,-.153,.203,-.131,.061,.133,-.020,3.08,4.08,4.67,505,1,,2012
116,Vaughn Taylor,81,71.059,286.0,60.59,66.30,.031,.160,.165,-.327,-.001,.030,3.03,4.05,4.74,312,,,2012
117,Danny Lee,74,71.062,291.9,57.44,65.24,.040,.230,-.031,-.202,-.003,.037,3.04,4.03,4.75,226,,,2012
118,Bill Lunde,83,71.062,290.5,59.10,67.56,-.241,.044,.449,.052,.546,.305,3.08,4.05,4.66,294,1,,2012
119,Brandt Jobe,57,71.064,299.2,62.48,64.68,.257,-.180,-.222,.198,-.204,.053,3.02,4.08,4.79,245,1,,2012
120,Camilo Villegas,79,71.079,290.3,62.01,69.55,-.343,-.117,.208,.080,.170,-.174,3.08,4.05,4.63,267,,,2012
121,Stuart Appleby,75,71.095,283.3,65.45,64.79,.154,.158,-.437,-.003,-.282,-.128,3.08,4.06,4.63,287,,,2012
122,Aaron Baddeley,73,71.113,292.0,54.30,58.10,.604,.152,-.504,-.108,-.461,.143,3.13,4.08,4.65,770,3,,2012
123,Rory Sabbatini,84,71.125,287.4,61.04,62.24,-.370,.129,-.021,.247,.356,-.014,3.12,4.07,4.69,602,2,,2012
124,Charley Hoffman,88,71.139,295.5,62.23,66.35,-.480,-.123,.356,.334,.567,.087,3.16,4.07,4.63,916,2,,2012
125,Kyle Reifers,86,71.160,290.0,61.70,67.41,.021,-.074,.056,.056,.038,.058,3.10,4.05,4.67,311,,,2012
126,Ricky Barnes,92,71.163,292.0,58.10,67.36,-.488,.075,.499,-.290,.285,-.203,3.08,4.09,4.69,696,1,,2012
127,Garth Mulroy,59,71.192,293.7,60.10,65.11,.010,-.179,.143,-.004,-.041,-.031,3.10,4.08,4.65,173,,,2012
128,Kris Blanks,65,71.201,284.5,65.84,66.84,-.608,-.203,.558,.192,.547,-.061,3.08,4.11,4.66,297,,,2012
129,Hunter Haas,69,71.205,287.6,61.82,63.14,.011,-.223,-.020,.123,-.120,-.109,3.16,4.05,4.80,251,1,,2012
130,Bobby Gates,87,71.208,300.2,58.60,65.39,-.262,-.318,-.016,.331,-.003,-.265,3.11,4.08,4.63,338,1,,2012
131,Rocco Mediate,70,71.218,280.7,62.22,64.84,-.012,.100,-.090,-.106,-.096,-.108,3.02,4.07,4.69,195,,,2012
132,James Driscoll,83,71.246,291.1,51.32,62.38,.434,.000,.032,-.525,-.493,-.059,3.03,4.11,4.63,413,2,,2012
133,Troy Matteson,100,71.247,298.9,52.67,64.01,.136,-.196,.075,-.066,-.187,-.051,3.04,4.10,4.71,"1,190",3,,2012
134,Jason Bohn,81,71.248,279.2,65.00,64.59,-.037,-.162,.128,-.110,-.144,-.180,3.10,4.08,4.71,363,3,,2012
135,David Mathis,83,71.333,278.1,63.22,61.04,.338,-.002,-.239,-.203,-.443,-.105,3.11,4.05,4.82,322,2,,2012
136,Chez Reavie,83,71.334,282.5,68.57,66.13,-.206,-.101,.136,.125,.160,-.045,3.11,4.07,4.75,327,,,2012
137,Kevin Kisner,69,71.342,287.9,61.10,62.48,.303,.103,-.651,.106,-.442,-.139,3.10,4.04,4.73,248,1,,2012
138,Robert Allenby,76,71.355,286.7,59.34,65.79,-.428,-.286,.537,-.449,-.198,-.626,3.05,4.11,4.81,417,2,,2012
139,Matt Jones,53,71.367,293.7,55.49,64.74,-.090,.112,-.387,-.192,-.467,-.557,3.07,4.07,4.69,143,1,,2012
140,Trevor Immelman,76,71.370,290.9,59.70,63.45,-.122,.384,.242,-.140,.487,.365,3.08,4.11,4.76,423,,,2012
141,Mark Wilson,84,71.375,276.0,68.62,64.03,-.102,.069,.043,-.255,-.143,-.245,3.11,4.09,4.68,"1,049",3,1,2012
142,Gavin Coles,72,71.397,271.2,65.08,64.23,.591,-.196,-.008,-.676,-.880,-.289,3.03,4.07,4.72,184,,,2012
143,Charlie Beljan,61,71.401,311.6,58.19,66.46,-.421,-.635,-.226,.797,-.064,-.485,3.10,4.07,4.61,222,3,1,2012
144,Jhonattan Vegas,77,71.440,304.6,53.09,66.07,-.035,-.135,-.206,-.012,-.352,-.387,3.09,4.11,4.63,361,2,,2012
145,Jason Kokrak,79,71.445,304.1,53.92,66.00,-.184,-.045,-.173,-.044,-.263,-.447,3.07,4.08,4.67,165,2,,2012
146,Mathew Goggin,65,71.449,290.8,57.86,67.30,-.242,.099,-.292,.108,-.084,-.327,3.10,4.06,4.66,103,,,2012
147,Robert Karlsson,54,71.453,294.7,55.22,63.25,-.531,.030,.072,-.040,.062,-.469,3.11,4.13,4.64,239,,,2012
148,Stewart Cink,71,71.483,288.8,53.43,64.26,.301,-.239,.195,-.485,-.529,-.228,3.13,4.11,4.74,310,,,2012
149,Chris DiMarco,83,71.488,273.0,69.24,60.55,-.113,.079,-.073,-.371,-.364,-.477,3.05,4.11,4.69,316,1,,2012
150,Scott Stallings,78,71.490,302.4,58.10,66.38,-.405,-.198,-.113,.393,.081,-.323,3.14,4.08,4.62,781,3,1,2012
151,Erik Compton,81,71.499,297.2,58.33,62.48,.092,-.155,-.668,.215,-.609,-.517,3.10,4.07,4.73,311,,,2012
152,J.J. Killeen,101,71.502,289.9,56.09,60.27,-.107,.213,-.492,-.063,-.342,-.449,3.11,4.07,4.77,286,1,,2012
153,Stephen Ames,54,71.511,283.7,61.88,62.18,-.255,-.097,-.277,-.277,-.651,-.906,3.13,4.11,4.76,142,,,2012
154,Troy Kelly,68,71.531,299.5,52.60,63.17,.050,-.001,-.530,-.211,-.742,-.692,3.02,4.09,4.77,462,1,,2012
155,Tommy Gainey,98,71.540,297.2,55.63,62.30,.113,-.262,-.260,-.108,-.630,-.517,3.14,4.06,4.77,631,2,1,2012
156,Andres Romero,68,71.543,292.0,54.90,61.30,-.223,-.049,.078,-.216,-.187,-.409,3.04,4.17,4.63,506,2,,2012
157,Gary Woodland,70,71.552,301.6,54.55,64.01,-.497,-.269,.153,.320,.204,-.293,3.11,4.14,4.64,321,1,,2012
158,D.J. Trahan,73,71.563,292.2,61.33,65.94,-.579,-.150,-.085,.088,-.147,-.726,3.10,4.09,4.70,243,2,,2012
159,Nick O'Hern,78,71.579,268.9,63.34,63.29,-.392,.424,.340,-.860,-.096,-.489,3.10,4.07,4.82,250,1,,2012
160,Ãngel Cabrera,54,71.581,299.7,57.02,63.33,-.217,-.126,-.306,.198,-.234,-.451,3.14,4.13,4.66,177,,,2012
161,Justin Leonard,79,71.583,279.4,60.34,60.44,-.325,.227,-.117,-.401,-.290,-.615,3.13,4.09,4.75,277,2,,2012
162,Steve Wheatcroft,56,71.584,286.9,62.37,66.22,.040,-.253,-.294,.001,-.546,-.506,3.11,4.06,4.75,92,,,2012
163,Sangmoon Bae,81,71.629,289.8,58.08,59.81,.128,-.491,-.760,.069,-1.181,-1.053,3.13,4.13,4.72,608,2,,2012
164,Arjun Atwal,79,71.634,285.1,61.12,63.85,-.217,-.084,-.227,-.132,-.443,-.660,3.06,4.10,4.74,181,1,,2012
165,Roland Thatcher,55,71.646,288.9,62.19,67.80,-.514,-.498,.010,-.156,-.644,-1.158,3.03,4.08,4.72,188,1,,2012
166,Scott Dunlap,57,71.653,281.4,64.66,67.21,-.688,-.226,.252,.062,.089,-.600,3.09,4.06,4.80,77,,,2012
167,Mark Anderson,75,71.692,295.7,52.23,63.85,-.133,.017,-.542,-.217,-.742,-.875,3.12,4.09,4.68,209,1,,2012
168,"Ted Potter, Jr.",77,71.710,284.5,64.18,63.32,.073,-.428,-.277,-.191,-.896,-.823,3.17,4.08,4.76,652,1,1,2012
169,Cameron Beckman,81,71.726,285.2,61.67,65.30,-.353,-.167,.058,-.226,-.336,-.689,3.09,4.11,4.69,154,,,2012
170,Harrison Frazar,56,71.739,297.7,54.68,61.21,.023,-.325,-.358,.108,-.575,-.551,3.07,4.14,4.66,387,2,,2012
171,Colt Knost,79,71.798,272.5,68.00,62.12,.184,-.053,-.545,-.566,-1.165,-.981,3.07,4.13,4.77,390,2,,2012
172,Scott Brown,65,71.835,291.2,60.22,64.50,-.468,-.219,-.255,.170,-.303,-.771,3.12,4.10,4.65,212,3,,2012
173,Daniel Chopra,55,71.872,295.6,47.27,59.80,.331,.068,-.589,-.489,-1.010,-.679,3.15,4.10,4.73,70,,,2012
174,Brendon Todd,78,71.873,283.6,58.77,60.00,.427,.094,-1.141,-.570,-1.617,-1.190,3.17,4.08,4.72,281,1,,2012
175,Derek Lamely,64,71.876,289.1,52.08,60.30,.636,-.204,-.714,-.754,-1.671,-1.035,3.06,4.12,4.74,160,,,2012
176,Brendan Steele,77,71.887,288.8,63.44,65.30,-.112,-.112,-.376,.084,-.405,-.517,3.17,4.08,4.72,334,3,,2012
177,Miguel Angel Carballo,73,71.918,289.5,57.88,64.79,-.294,-.106,-.728,-.042,-.876,-1.170,3.19,4.06,4.72,213,,,2012
178,Edward Loar,59,71.922,295.6,56.01,62.05,.145,-.594,-.728,.059,-1.263,-1.118,3.18,4.09,4.73,43,,,2012
179,Patrick Sheehan,58,71.950,279.3,60.11,62.93,-.149,.092,-.737,-.468,-1.113,-1.261,3.14,4.08,4.77,108,,,2012
180,Ryuji Imada,78,71.978,276.4,56.13,60.60,.351,.196,-.538,-.919,-1.262,-.910,3.09,4.10,4.80,113,1,,2012
181,Alexandre Rocha,62,72.039,284.6,63.47,66.87,-.232,-.320,-.221,-.083,-.624,-.856,3.12,4.08,4.77,183,2,,2012
182,Michael Bradley,63,72.059,284.5,51.88,65.35,-.189,-.010,.391,-1.146,-.765,-.954,3.06,4.09,4.78,173,,,2012
183,Billy Hurley III,70,72.116,275.3,60.56,57.74,.276,.072,-.704,-.967,-1.600,-1.324,3.09,4.14,4.81,256,2,,2012
184,Tom Pernice Jr.,62,72.137,273.9,61.26,61.69,-.318,.209,-.097,-.921,-.809,-1.127,3.06,4.12,4.74,139,1,,2012
185,Matt Bettencourt,80,72.182,288.2,52.29,58.95,-.201,-.077,-.425,-.558,-1.061,-1.262,3.15,4.11,4.77,177,1,,2012
186,Kyle Thompson,51,72.296,284.2,62.65,64.78,-1.209,-.189,.204,-.204,-.189,-1.398,3.10,4.13,4.80,44,,,2012
187,Marco Dawson,60,72.304,285.9,56.04,62.76,-.235,.084,-.459,-.606,-.980,-1.215,3.09,4.11,4.74,43,,,2012
188,Tommy Biershenk,74,72.494,285.4,57.22,59.89,.224,-.167,-.733,-.551,-1.451,-1.227,3.16,4.15,4.69,73,,,2012
189,Sung Kang,75,72.571,285.7,57.53,59.15,.051,-.286,-.897,-.628,-1.812,-1.761,3.16,4.16,4.73,146,,,2012
190,Stephen Gangluff,57,72.995,291.5,49.93,59.15,-.243,-.296,-.488,-.932,-1.716,-1.959,3.07,4.19,4.79,3,,,2012
0,Steve Stricker,51,68.893,283.6,70.65,71.16,.720,.596,.567,.311,1.474,2.193,3.04,3.94,4.52,"2,650",8,,2013
1,Tiger Woods,61,68.944,293.2,62.50,67.59,.426,.247,1.533,-.142,1.637,2.064,2.98,4.02,4.57,"2,743",8,5,2013
2,Justin Rose,62,69.225,296.6,63.57,68.89,-.188,.491,.961,.459,1.912,1.723,3.04,4.00,4.60,"1,300",7,1,2013
3,Henrik Stenson,65,69.248,290.9,70.09,71.96,.004,.128,.776,.710,1.614,1.618,3.00,4.02,4.57,"4,750",8,2,2013
4,Adam Scott,61,69.300,297.8,61.84,68.80,-.027,.055,.548,.734,1.337,1.310,3.07,4.02,4.58,"2,278",6,2,2013
5,Sergio Garcia,65,69.543,291.0,61.28,67.46,.591,.259,.538,.131,.928,1.519,3.09,4.03,4.57,635,6,,2013
6,Matt Kuchar,93,69.561,284.9,58.93,65.84,.398,.278,.731,-.010,.999,1.398,3.05,4.02,4.54,"1,823",8,2,2013
7,Charl Schwartzel,69,69.651,296.1,59.87,65.85,.301,.061,.711,.195,.967,1.268,3.08,4.03,4.58,490,5,,2013
8,Jordan Spieth,82,69.668,289.4,67.80,66.94,.182,.200,.480,.611,1.291,1.473,3.05,3.99,4.62,"1,690",9,1,2013
9,Keegan Bradley,88,69.724,300.6,62.82,66.54,.250,.185,.270,.698,1.153,1.403,3.06,4.02,4.51,693,7,,2013
10,Jason Day,86,69.732,299.3,58.03,64.93,.370,.167,-.013,.452,.606,.976,3.04,4.04,4.60,698,7,,2013
11,Phil Mickelson,78,69.742,287.9,57.30,66.67,.661,.260,.494,.021,.775,1.436,2.99,4.03,4.60,"1,313",7,2,2013
12,Webb Simpson,92,69.783,285.4,63.30,66.67,.313,.225,.517,.216,.958,1.271,3.04,4.03,4.62,"1,050",5,,2013
13,Brandt Snedeker,79,69.791,281.3,62.57,65.68,.692,.354,.121,-.025,.449,1.141,3.08,4.00,4.61,853,9,2,2013
14,Luke Donald,60,69.793,278.1,62.87,62.16,.528,.628,.583,-.459,.752,1.279,3.03,4.04,4.68,483,5,,2013
15,Jim Furyk,80,69.828,275.3,70.47,68.30,.092,.323,.950,.023,1.297,1.389,3.01,4.03,4.70,758,7,,2013
16,Jason Dufner,78,69.912,285.9,64.81,67.53,-.231,-.103,.440,.475,.812,.581,3.11,4.00,4.73,685,5,1,2013
17,Bill Haas,85,70.023,288.2,62.31,67.79,.266,.289,.346,.365,.999,1.265,3.04,4.00,4.71,573,9,1,2013
18,Zach Johnson,84,70.073,278.8,69.68,68.14,.365,.047,.251,.181,.479,.844,3.02,4.02,4.68,"2,238",8,1,2013
19,Graham DeLaet,94,70.089,298.6,65.80,70.51,.100,-.159,.640,.488,.969,1.069,3.09,4.00,4.59,"1,415",7,,2013
20,Hunter Mahan,91,70.106,290.0,66.61,67.58,.382,.050,.285,.417,.752,1.134,3.09,4.02,4.63,653,5,,2013
21,Freddie Jacobson,63,70.108,287.3,56.26,61.67,.449,.247,.304,.075,.626,1.075,3.13,4.03,4.68,821,3,,2013
22,Dustin Johnson,71,70.115,305.8,53.36,66.75,-.101,-.090,.663,.332,.906,.805,3.01,4.08,4.61,760,6,1,2013
23,Brendon de Jonge,110,70.154,286.3,66.28,68.84,.030,.032,.414,.280,.725,.756,3.01,4.02,4.59,503,4,,2013
24,Lee Westwood,70,70.158,290.3,62.59,65.22,-.484,.170,.479,.439,1.088,.604,3.08,4.04,4.73,"1,291",6,,2013
25,Ryan Palmer,79,70.167,301.5,57.69,66.24,.333,-.323,.461,.411,.550,.883,3.02,4.05,4.60,823,4,,2013
26,Chris Kirk,89,70.206,289.0,59.65,65.92,.456,.099,.620,-.213,.506,.962,3.00,3.99,4.69,"1,399",3,,2013
27,Rickie Fowler,75,70.212,286.4,62.27,63.59,.425,.074,.141,.143,.358,.783,3.09,4.05,4.62,"1,334",5,,2013
28,Billy Horschel,96,70.244,293.8,64.17,67.48,.381,-.069,-.121,.465,.275,.656,3.08,4.03,4.62,728,8,1,2013
29,Matt Jones,83,70.245,292.3,64.74,66.00,.145,.220,.123,.396,.740,.885,3.03,4.01,4.63,"1,419",5,,2013
30,Kevin Streelman,86,70.267,287.5,67.25,66.41,.246,-.008,.214,.406,.611,.858,3.08,4.04,4.64,553,5,1,2013
31,Charles Howell III,87,70.272,294.8,53.11,66.73,.438,.374,-.084,.133,.424,.862,3.02,3.99,4.66,"1,398",5,,2013
32,Bubba Watson,76,70.276,303.7,58.73,69.41,-.096,-.065,.292,.937,1.164,1.069,3.08,4.04,4.61,"1,365",3,,2013
33,Rory McIlroy,56,70.288,302.2,57.92,65.45,-.093,.032,.420,.624,1.077,.985,3.05,4.06,4.69,"1,190",5,,2013
34,K.J. Choi,85,70.322,278.3,66.04,65.87,.337,.258,.154,.096,.508,.845,3.09,4.03,4.68,816,2,,2013
35,Jimmy Walker,84,70.332,298.5,52.18,66.07,.276,.164,.407,.082,.654,.930,3.13,3.99,4.63,"1,388",5,,2013
36,Bob Estes,66,70.361,285.0,63.11,64.90,.335,.362,.277,-.216,.424,.759,3.00,4.03,4.70,688,2,,2013
37,Peter Hanson,45,70.368,295.3,56.31,61.24,.484,.138,.192,-.306,.024,.508,3.04,4.13,4.58,356,1,,2013
38,Ian Poulter,59,70.382,281.7,62.42,63.52,.177,.290,-.153,.200,.337,.514,3.05,4.07,4.73,"1,133",4,,2013
39,Harris English,95,70.438,295.2,58.65,66.02,.477,-.077,.098,.115,.136,.613,3.06,4.03,4.63,"1,442",4,1,2013
40,Ernie Els,63,70.491,289.6,57.72,61.74,-.136,.143,.191,.110,.444,.308,3.07,4.09,4.62,918,1,,2013
41,Roberto Castro,97,70.494,282.3,67.36,67.30,-.465,.348,.379,.204,.931,.466,3.07,4.02,4.58,645,4,,2013
42,Charley Hoffman,84,70.497,294.0,59.57,65.48,.128,-.145,.262,.333,.450,.578,3.05,4.07,4.61,"1,016",5,,2013
43,Graeme McDowell,53,70.503,277.5,68.51,62.70,.136,-.061,.217,.251,.407,.543,3.05,4.08,4.75,"1,116",4,1,2013
44,Rory Sabbatini,86,70.511,293.1,59.72,67.75,-.274,.002,.468,.273,.743,.469,3.08,4.03,4.57,"1,230",5,,2013
45,Bryce Molder,82,70.520,273.8,65.95,63.68,.594,.395,.052,-.538,-.090,.504,3.01,4.03,4.64,979,,,2013
46,Jerry Kelly,75,70.522,273.2,71.81,65.41,.198,.125,.159,.109,.394,.592,3.06,4.02,4.69,650,2,,2013
47,Marc Leishman,77,70.532,286.6,58.77,65.08,.080,-.009,.345,-.099,.237,.318,3.08,4.06,4.72,"1,071",4,,2013
48,Chris Stroud,88,70.546,277.0,62.40,64.33,.340,.333,.520,-.578,.276,.616,3.04,4.02,4.68,"1,245",4,,2013
49,Martin Kaymer,61,70.559,288.4,61.36,64.85,.137,-.335,-.070,.402,-.003,.135,3.11,4.11,4.66,679,3,,2013
50,Russell Henley,80,70.570,289.0,64.68,64.25,.609,-.233,-.053,.432,.145,.754,3.10,4.04,4.70,"1,238",3,1,2013
51,Camilo Villegas,79,70.586,291.8,58.56,66.74,-.149,-.095,.885,-.183,.608,.458,3.05,4.04,4.65,695,2,,2013
52,Chez Reavie,72,70.600,282.8,70.29,66.74,-.009,-.184,.186,.381,.383,.375,3.03,4.02,4.74,439,,,2013
53,Boo Weekley,100,70.611,290.9,66.36,69.39,-.676,-.221,.401,.594,.774,.099,3.12,4.04,4.60,455,4,1,2013
54,Morgan Hoffmann,64,70.613,295.4,57.72,64.67,.193,.242,-.344,.227,.125,.318,3.08,4.01,4.70,444,3,,2013
55,"Ted Potter, Jr.",65,70.615,280.3,68.03,64.48,.247,-.052,.046,.166,.160,.406,3.07,4.04,4.75,518,2,,2013
56,Kevin Stadler,83,70.632,289.8,64.21,68.92,-.284,-.110,.451,.410,.751,.467,3.04,4.03,4.59,"1,412",3,,2013
57,Stewart Cink,71,70.633,290.0,57.19,67.76,-.238,-.058,.975,-.264,.654,.416,3.09,4.08,4.65,783,3,,2013
58,Martin Flores,83,70.676,300.4,53.67,65.53,.080,.118,.092,.136,.346,.426,3.04,4.03,4.65,630,2,,2013
59,Brian Davis,91,70.690,278.8,68.61,62.15,.232,.185,.222,.051,.458,.689,3.01,4.05,4.72,"1,224",4,,2013
60,Tim Clark,64,70.693,273.9,70.31,62.02,.058,-.049,.087,.048,.086,.144,3.02,4.09,4.69,703,3,,2013
61,Cameron Tringale,80,70.724,287.2,62.89,67.01,.104,.149,.169,-.079,.239,.343,3.03,4.05,4.62,726,1,,2013
62,Gary Woodland,94,70.733,303.8,57.60,66.98,.062,-.392,.459,.331,.397,.459,3.03,4.06,4.67,603,2,1,2013
63,John Merrick,79,70.736,284.3,60.51,66.53,.063,.051,.365,.038,.454,.517,3.02,4.05,4.67,"1,331",2,1,2013
64,David Hearn,88,70.738,279.7,62.08,64.71,.484,-.119,.179,-.199,-.139,.345,3.06,4.02,4.73,"1,105",2,,2013
65,John Huh,88,70.758,282.0,68.53,66.60,-.227,.190,.155,.179,.525,.298,3.01,4.08,4.73,"1,279",2,,2013
66,John Rollins,77,70.779,295.6,58.56,67.43,-.243,-.103,.409,.164,.470,.227,3.02,4.05,4.66,696,2,,2013
67,Nick Watney,88,70.780,291.2,62.40,68.48,.006,-.317,.362,.461,.506,.512,3.09,4.05,4.65,738,4,,2013
68,Patrick Reed,83,70.807,292.0,56.13,63.79,.350,.011,-.327,.089,-.227,.122,3.08,4.05,4.62,"1,125",5,1,2013
69,Daniel Summerhays,83,70.813,285.7,62.08,64.46,.221,.067,.227,-.062,.232,.453,3.06,4.04,4.61,"1,307",4,,2013
70,Ryan Moore,72,70.825,282.3,68.44,64.32,-.028,.139,.007,.232,.377,.350,3.10,4.07,4.66,"1,185",3,,2013
71,Stuart Appleby,88,70.834,284.7,62.53,65.21,.353,.387,-.219,-.280,-.112,.241,3.01,4.04,4.75,570,1,,2013
72,Pat Perez,69,70.835,290.1,61.35,67.87,-.039,-.055,.505,-.127,.323,.284,3.01,4.05,4.70,549,4,,2013
73,Justin Leonard,86,70.863,276.3,64.36,63.11,.348,.363,-.255,-.341,-.233,.115,3.07,4.04,4.67,644,1,,2013
74,Jeff Overton,78,70.863,292.4,57.83,64.89,.315,-.384,.099,.296,.011,.327,3.02,4.04,4.71,506,2,,2013
75,Ben Crane,62,70.864,281.0,60.94,63.98,.024,.005,.313,-.143,.175,.199,3.05,4.07,4.67,369,2,,2013
76,Brian Stuard,78,70.869,281.8,65.99,65.77,.067,-.125,.118,-.128,-.135,-.068,3.01,4.06,4.70,598,4,,2013
77,George McNeill,68,70.876,286.0,65.62,65.28,-.028,-.030,.255,-.012,.213,.185,3.09,4.04,4.69,524,,,2013
78,James Driscoll,76,70.888,287.1,53.89,63.81,.650,.139,.022,-.422,-.261,.389,3.02,4.03,4.79,524,2,,2013
79,Ãngel Cabrera,73,70.897,294.0,56.19,64.99,.069,-.059,-.241,.294,-.006,.063,3.08,4.06,4.75,956,2,,2013
80,Vaughn Taylor,50,70.897,289.8,65.32,63.53,.103,-.247,.148,-.042,-.141,-.038,3.11,4.06,4.60,246,1,,2013
81,Josh Teater,86,70.904,293.7,60.77,66.53,.022,-.133,.083,.365,.316,.338,3.08,4.07,4.70,726,3,,2013
82,Richard Lee,81,70.912,279.1,66.95,66.52,.564,-.043,-.074,-.134,-.251,.313,2.96,4.07,4.71,569,2,,2013
83,Mark Wilson,56,70.916,278.0,70.74,66.24,-.210,.072,.252,.185,.510,.300,3.16,4.04,4.66,476,3,,2013
84,Nicholas Thompson,99,70.920,291.6,64.74,67.85,-.281,-.288,.373,.420,.505,.225,3.06,4.04,4.73,"1,043",2,,2013
85,Jason Kokrak,78,70.924,303.2,53.17,65.67,-.119,.029,.201,.079,.309,.190,3.04,4.07,4.60,"1,013",4,,2013
86,Kevin Chappell,80,70.927,292.9,61.52,66.11,-.338,.077,.370,.276,.722,.384,3.10,4.05,4.68,"1,237",3,,2013
87,John Senden,79,70.970,289.3,60.57,65.95,-.138,.130,-.258,.344,.216,.078,3.12,4.09,4.65,498,,,2013
88,J.J. Henry,83,70.992,284.7,64.93,67.97,.146,-.089,-.122,.138,-.074,.072,3.03,4.06,4.73,516,2,,2013
89,Vijay Singh,61,70.995,288.1,62.31,69.13,-.876,-.021,.501,.371,.851,-.025,3.14,4.07,4.75,291,,,2013
90,David Lingmerth,68,70.996,285.8,64.87,63.24,-.009,-.022,-.255,.301,.024,.015,3.10,4.06,4.72,806,3,,2013
91,William McGirt,75,71.000,281.8,62.30,65.33,.229,.165,-.118,-.208,-.161,.068,3.09,4.04,4.67,533,2,,2013
92,Erik Compton,74,71.011,292.7,56.89,65.09,.234,-.076,-.363,.012,-.427,-.193,3.08,4.03,4.76,547,1,,2013
93,David Lynn,70,71.016,277.9,59.27,62.48,.432,.323,-.164,-.229,-.071,.361,3.06,4.07,4.74,"1,204",2,,2013
94,Padraig Harrington,52,71.017,288.3,58.39,60.88,-.131,.321,.067,-.345,.042,-.089,3.12,4.11,4.74,345,3,,2013
95,Matt Every,89,71.023,288.1,58.94,65.54,-.092,-.234,.296,.323,.385,.293,3.10,4.02,4.71,"1,097",4,,2013
96,Ken Duke,87,71.025,275.1,69.28,63.09,-.026,-.178,.130,.009,-.040,-.065,3.09,4.06,4.76,930,2,1,2013
97,Martin Laird,68,71.029,293.4,60.78,63.64,-.127,-.058,-.195,.389,.136,.009,3.11,4.09,4.74,814,2,1,2013
98,Jim Herman,59,71.045,299.2,62.71,67.98,-.229,-.176,-.091,.550,.282,.053,3.04,4.10,4.65,325,2,,2013
99,Brendan Steele,86,71.053,290.7,61.56,65.99,.028,.105,-.135,.025,-.005,.023,3.09,4.06,4.67,876,2,,2013
100,Robert Garrigus,69,71.058,302.4,55.37,66.15,-.437,-.528,.571,.509,.553,.116,3.03,4.08,4.73,601,2,,2013
101,Bo Van Pelt,72,71.080,285.9,63.80,65.63,-.181,-.100,.025,.186,.111,-.070,3.13,4.07,4.72,612,1,,2013
102,Brad Fritsch,81,71.085,297.0,58.06,66.59,-.212,-.152,.313,.005,.166,-.046,3.05,4.07,4.67,350,1,,2013
103,Nicolas Colsaerts,50,71.088,305.7,53.80,66.78,-.579,-.563,.322,.552,.311,-.268,3.20,4.11,4.66,353,3,,2013
104,Robert Streb,75,71.089,297.7,59.57,65.57,.000,.003,-.398,.164,-.231,-.231,3.06,4.06,4.68,359,,,2013
105,Jason Bohn,70,71.101,276.3,65.74,64.44,.185,-.095,.034,-.156,-.217,-.033,3.02,4.07,4.70,454,2,,2013
106,Cameron Percy,68,71.106,293.6,59.28,65.74,.121,-.092,-.198,.001,-.288,-.167,3.07,4.05,4.67,230,,,2013
107,Jonas Blixt,76,71.110,283.7,56.54,60.89,.312,.394,-.882,-.227,-.715,-.403,3.13,4.06,4.71,"1,135",2,1,2013
108,Sangmoon Bae,83,71.111,285.3,58.39,63.72,.371,-.376,-.165,.053,-.488,-.116,3.04,4.08,4.75,918,2,1,2013
