,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_ATG,SG_APP,SG_OTT,SG_TTG,SG_T,PAR3,PAR4,PAR5,POINTS,TOP 10,1ST,Year
177,Justin Hicks,60,72.008,286.0,69.88,65.71,-.955,-.472,-.192,.202,-.461,-1.416,3.12,4.12,4.84,145,,,2011
178,J.P. Hayes,56,72.048,282.7,64.36,61.52,.024,-.111,-.406,-.035,-.552,-.528,3.14,4.09,4.73,147,,,2011
179,Troy Merritt,63,72.083,286.8,62.04,64.12,-.334,-.049,-.468,-.181,-.697,-1.031,3.08,4.12,4.74,131,,,2011
180,Will Strickler,51,72.177,304.1,57.38,62.06,.294,-.380,-.648,-.267,-1.294,-1.000,3.11,4.12,4.75,84,,,2011
181,Daniel Summerhays,75,72.487,284.9,62.83,63.24,-.292,-.134,-.434,-.719,-1.288,-1.581,3.16,4.11,4.79,210,,,2011
182,Martin Piller,63,72.542,292.2,54.00,61.02,.208,-.623,-.610,-.326,-1.559,-1.351,3.14,4.15,4.73,120,,,2011
183,Derek Lamely,65,72.606,297.9,50.57,62.87,-.321,.273,-.636,-.700,-1.062,-1.383,3.09,4.14,4.70,123,,,2011
184,Rich Beem,53,72.760,286.1,63.87,61.95,-.592,-.280,-.257,-.152,-.689,-1.281,3.20,4.15,4.80,78,,,2011
185,Rocco Mediate,53,72.975,275.5,68.91,62.16,-.621,.030,-.682,-.248,-.900,-1.522,3.18,4.12,4.78,85,,,2011
0,Rory McIlroy,60,68.873,310.1,56.61,66.36,.058,.273,1.002,1.072,2.347,2.406,2.99,4.02,4.49,"2,827",10,4,2012
1,Tiger Woods,69,68.904,297.4,63.93,67.58,.339,.194,1.224,.553,1.971,2.310,3.02,3.99,4.56,"2,663",9,3,2012
2,Jim Furyk,85,69.304,280.0,70.71,68.19,.423,.275,.830,.225,1.329,1.752,3.02,4.01,4.65,790,8,,2012
3,Jason Dufner,83,69.456,292.4,66.90,69.17,.153,.222,.519,.553,1.293,1.446,3.02,4.00,4.61,853,8,2,2012
4,Matt Kuchar,86,69.477,286.2,65.06,65.38,.472,.309,.490,.110,.910,1.382,3.03,4.00,4.67,707,9,1,2012
5,Adam Scott,59,69.533,304.6,59.61,66.57,-.138,.203,.494,.605,1.302,1.164,3.03,4.06,4.57,560,5,,2012
6,Justin Rose,69,69.549,290.9,65.82,70.34,-.122,.567,.840,.355,1.762,1.640,3.01,4.00,4.66,"1,770",8,1,2012
7,Dustin Johnson,70,69.564,310.2,56.30,65.75,.185,-.035,.638,.720,1.324,1.509,3.07,4.02,4.56,"1,527",9,1,2012
8,Bubba Watson,68,69.639,315.5,58.84,69.95,-.280,.059,.265,1.485,1.809,1.529,3.13,3.98,4.51,"1,005",7,1,2012
9,Luke Donald,63,69.687,280.1,65.16,64.96,.818,.430,.582,-.188,.824,1.641,3.06,4.02,4.59,"1,275",8,1,2012
10,Louis Oosthuizen,65,69.707,299.5,62.41,68.78,-.004,.006,.478,.496,.980,.976,3.04,4.04,4.61,"1,635",5,,2012
11,Bo Van Pelt,84,69.718,296.1,64.79,67.07,.542,-.220,.665,.450,.895,1.437,3.06,4.01,4.61,647,10,,2012
12,Padraig Harrington,67,69.736,293.6,59.86,62.17,-.020,.384,.331,.193,.908,.888,3.03,4.06,4.61,"1,213",3,,2012
13,Zach Johnson,95,69.821,281.1,68.53,64.95,.568,.176,.342,.112,.629,1.197,3.02,4.03,4.60,"1,073",6,2,2012
14,Brandt Snedeker,81,69.840,288.7,60.50,63.75,.860,.316,.110,-.276,.150,1.010,3.01,4.02,4.59,"4,100",7,2,2012
15,Steve Stricker,73,69.865,285.4,63.31,68.33,.134,.147,.898,.116,1.161,1.295,3.01,4.00,4.62,685,7,1,2012
16,Sergio Garcia,57,69.928,292.4,61.15,64.98,.400,.283,.075,.346,.704,1.104,3.06,4.08,4.54,733,3,1,2012
17,Keegan Bradley,90,69.984,302.7,61.65,66.54,.330,-.127,.238,.680,.791,1.122,2.99,4.06,4.56,655,5,1,2012
18,Carl Pettersson,92,70.013,297.1,57.63,63.89,.444,.049,.334,.041,.424,.867,3.06,4.02,4.66,613,6,1,2012
19,Phil Mickelson,79,70.030,294.4,54.31,64.14,.562,.398,.566,-.103,.860,1.422,3.03,4.04,4.59,"2,073",7,1,2012
20,Webb Simpson,77,70.040,288.6,61.47,67.47,.211,.371,.319,.222,.912,1.123,3.07,4.00,4.60,785,7,1,2012
21,John Senden,81,70.050,291.0,65.93,68.59,.039,-.016,.473,.503,.960,1.000,3.05,4.02,4.62,445,5,,2012
22,Robert Garrigus,89,70.066,310.3,56.58,69.23,-.225,-.264,.680,.797,1.212,.988,3.08,4.03,4.57,637,8,,2012
23,Lee Westwood,60,70.084,298.1,62.17,69.75,-.359,-.166,.681,.628,1.143,.784,3.07,4.04,4.65,"1,205",7,,2012
24,Ernie Els,80,70.131,294.6,56.71,66.52,-.050,-.006,.462,.272,.727,.677,3.09,4.02,4.70,510,5,1,2012
25,Brendon de Jonge,115,70.137,288.8,63.42,69.17,.144,.000,.754,.185,.939,1.083,3.00,4.02,4.61,"1,065",4,,2012
26,Jason Day,57,70.152,308.6,52.48,61.31,.526,.275,.102,.121,.498,1.024,3.00,4.08,4.67,712,4,,2012
27,Vijay Singh,99,70.156,295.4,61.62,66.22,-.404,.212,.520,.435,1.167,.763,3.12,4.02,4.64,"1,406",5,,2012
28,Ian Poulter,57,70.176,285.0,65.13,61.61,.103,.207,.068,.186,.461,.564,3.07,4.03,4.68,"1,280",4,1,2012
29,Davis Love III,64,70.194,296.3,59.11,65.02,.063,-.038,.635,.206,.803,.867,3.04,4.06,4.69,443,3,,2012
30,Jeff Overton,101,70.197,292.0,61.91,66.32,.293,-.080,.236,.434,.590,.883,3.05,4.03,4.58,"1,199",4,,2012
31,Graeme McDowell,55,70.229,285.5,70.11,66.26,-.282,-.478,.641,.490,.654,.372,3.11,4.00,4.75,"1,222",4,,2012
32,Henrik Stenson,51,70.239,289.5,64.13,65.37,.105,.169,.297,.343,.809,.915,3.08,4.05,4.59,462,1,,2012
33,Jonas Blixt,72,70.244,286.3,58.90,63.65,.804,.367,-.010,-.100,.257,1.062,3.09,3.99,4.61,820,5,1,2012
34,Ryan Palmer,81,70.252,303.1,57.95,65.16,.453,-.193,.258,.485,.550,1.003,2.99,4.05,4.67,"1,070",4,,2012
35,Seung-Yul Noh,105,70.256,300.4,59.34,67.41,.142,.122,.102,.355,.579,.721,3.05,4.04,4.62,"1,379",3,,2012
36,Charl Schwartzel,56,70.281,295.8,61.41,62.65,.084,.039,.445,.356,.840,.925,3.08,4.03,4.73,"1,041",2,,2012
